Data do Sinistro;Dia do Sinistro;Mes do Sinistro;Ano do Sinistro;Ano/Mes do Sinistro;latitude;longitude;Logradouro;Numero/KM;Pedestre envolvido;Automovel envolvido;Bicicleta envolvida;Caminhao envolvido;Motocicleta envolvida;Onibus envolvido;Outros veiculos envolvidos;Veiculo envolvido nao disponivel;Atropelamento;Capotamento;Choque;Colisao frontal;Colisao lateral;Colisao transversal;Colisao traseira;Outras colisoes;Engavetamento;Tombamento;Outros sinistros;Quantidade de vitimas fatais;Tipo de registro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019-09-16 00:00:00;16;9;2019;2019/09;-22,21749014;-49,94344222;AVENIDA PEDRO DE TOLEDO;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-07-26 00:00:00;26;7;2024;2024/07;-22,2015434;-49,9645071;SP333;303;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019-10-08 00:00:00;8;10;2019;2019/10;-22,17588872;-49,96297348;RUA TOMAS ALCALDE;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019-03-07 00:00:00;7;3;2019;2019/03;-22,21663375;-49,93781549;RUA TOMAS GONZAGA;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-08-30 00:00:00;30;8;2022;2022/08;-22,23206644;-49,92446907;RODOVIA SP 294;446;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-11-28 00:00:00;28;11;2021;2021/11;-22,22836198;-49,97542493;RUA MARIA GIRAIDE CAVALARE;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019-10-09 00:00:00;9;10;2019;2019/10;-22,19272207;-49,95972385;AVENIDA SANCHES CIBANTOS;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-04-09 00:00:00;9;4;2024;2024/04;-22,17726919;-49,95787781;RUA MARIANA NORA ABIBE;104;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-10-05 00:00:00;5;10;2021;2021/10;-22,22533215;-49,93548018;AVENIDA TIRADENTES;1100;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-10-10 00:00:00;10;10;2021;2021/10;-22,23650357;-49,96910824;RUA MANOEL SANTOS CHIEIRA;222;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-12-31 00:00:00;31;12;2023;2023/12;-22,2554292;-49,9395835;RUA YOSHITAKA SHIMADA;5;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
