;id_sinistro;Data do Sinistro;Dia do Sinistro;Mes do Sinistro;Ano do Sinistro;Ano/Mes do Sinistro;latitude;longitude;Hora do Sinistro;Municipio;Regiao Administrativa;Logradouro;Numero/KM;Pedestre envolvido;Automovel envolvido;Bicicleta envolvida;Caminhao envolvido;Motocicleta envolvida;Onibus envolvido;Outros veiculos envolvidos;Veiculo envolvido nao disponivel;Atropelamento;Capotamento;Choque;Colisao frontal;Colisao lateral;Colisao transversal;Colisao traseira;Outras colisoes;Engavetamento;Tombamento;Outros sinistros;Tipo de registro
319162;PM-6642-6-2024-5-24;2024-05-24 00:00:00;24;5;2024;2024/05;-22,2008192;-49,9570753;12:09:00;MARILIA;Marilia;AVENIDA CASTRO ALVES;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
319166;PM-17849-6-2021-8-14;2021-08-14 00:00:00;14;8;2021;2021/08;-22,22933867;-49,93141061;18:53:00;MARILIA;Marilia;AVENIDA TIRADENTES;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
319200;PM-18898-6-2021-10-9;2021-10-09 00:00:00;9;10;2021;2021/10;-22,1887261;-49,92801664;19:14:03;MARILIA;Marilia;AVENIDA BRIGADEIRO EDUARDO GOMES;2938;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
319231;PM-3938-6-2022-12-15;2022-12-15 00:00:00;15;12;2022;2022/12;-22,24056598;-49,9782136;08:00:00;MARILIA;Marilia;RUA DOUTOR ARGOLO FERRAD;111;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
319243;PM-16254-6-2020-1-12;2020-01-12 00:00:00;12;1;2020;2020/01;-22,20938057;-49,95341138;18:10:00;MARILIA;Marilia;AVENIDA SAMPAIO VIDAL;100;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO NAO FATAL
319507;PM-2846-6-2024-6-6;2024-06-06 00:00:00;6;6;2024;2024/06;-22,26935368;-49,92330145;07:16:00;MARILIA;Marilia;RODOVIA BR 153;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
319510;PM-11339-6-2022-2-28;2022-02-28 00:00:00;28;2;2022;2022/02;-22,1757222;-49,9673477;14:41:45;MARILIA;Marilia;RUA BENEDITO ALVES DELFINO;222;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
319547;PM-16521-6-2020-11-16;2020-11-16 00:00:00;16;11;2020;2020/11;-22,21149526;-49,96144771;21:36:00;MARILIA;Marilia;RUA DOUTOR JOAQUIM DE ABREU SAMPAIO VIDAL;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
319644;PM-3939-6-2023-7-21;2023-07-21 00:00:00;21;7;2023;2023/07;-22,2282083;-49,968795;07:10:00;MARILIA;Marilia;RODOVIA SP 294;451;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;SINISTRO NAO FATAL
320127;PM-3358-6-2022-8-23;2022-08-23 00:00:00;23;8;2022;2022/08;-22,22866924;-49,95834871;07:50:00;MARILIA;Marilia;RODOVIA SP 294;450;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
320190;PM-20555-6-2020-10-25;2020-10-25 00:00:00;25;10;2020;2020/10;-22,24328117;-49,98004023;18:36:00;MARILIA;Marilia;ACESSO RODOVIA RACHIDE RAIES;335;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
320225;PM-3670-6-2019-6-23;2019-06-23 00:00:00;23;6;2019;2019/06;-22,18037049;-49,96894475;01:31:00;MARILIA;Marilia;RUA LUIS GABALDI FILHO;50;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
320334;PM-16297-6-2020-1-29;2020-01-29 00:00:00;29;1;2020;2020/01;-22,21764462;-49,94788638;22:07:54;MARILIA;Marilia;RUA NOVE DE JULHO;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
320449;PM-4705-6-2023-10-25;2023-10-25 00:00:00;25;10;2023;2023/10;-22,23308246;-49,93004928;09:03:00;MARILIA;Marilia;AVENIDA JOAO RAMALHO;47;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;SINISTRO NAO FATAL
320648;PM-10751-6-2022-4-24;2022-04-24 00:00:00;24;4;2022;2022/04;-22,20904624;-49,9541158;08:28:00;MARILIA;Marilia;RUA DOUTOR JOAQUIM DE ABREU SAMPAIO VIDAL;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
320665;PM-14426-6-2019-3-6;2019-03-06 00:00:00;6;3;2019;2019/03;-22,23194233;-49,91456059;18:28:00;MARILIA;Marilia;RUA AZARIAS CARVALHO LEME;25;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO NAO FATAL
320689;PM-2623-6-2024-5-23;2024-05-23 00:00:00;23;5;2024;2024/05;-22,2021772;-49,9642703;06:00:00;MARILIA;Marilia;SP294;461;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;SINISTRO NAO FATAL
320718;PM-13621-6-2022-3-31;2022-03-31 00:00:00;31;3;2022;2022/03;-22,20763101;-49,94251521;19:38:00;MARILIA;Marilia;RUA MATO GROSSO;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
320770;PM-7269-6-2020-12-1;2020-12-01 00:00:00;1;12;2020;2020/12;-22,21852024;-49,94885327;13:35:00;MARILIA;Marilia;AVENIDA SAMPAIO VIDAL;1225;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
320888;PM-10076-6-2023-5-23;2023-05-23 00:00:00;23;5;2023;2023/05;-22,17244597;-49,95292624;15:03:47;MARILIA;Marilia;AVENIDA JOQUEI CLUB;266;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
321019;PM-3203-6-2022-8-11;2022-08-11 00:00:00;11;8;2022;2022/08;-22,19156618;-49,96692106;07:36:00;MARILIA;Marilia;RODOVIA SP 294;457;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
321163;PM-12554-6-2021-3-31;2021-03-31 00:00:00;31;3;2021;2021/03;-22,23848637;-49,92796213;18:07:00;MARILIA;Marilia;AVENIDA JOAO RAMALHO;1001;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
321194;PM-7532-6-2020-10-22;2020-10-22 00:00:00;22;10;2020;2020/10;-22,15563732;-49,95895454;13:24:00;MARILIA;Marilia;AVENIDA ANTONIETA ALTENFELDER;2475;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
321250;PM-23262-6-2024-2-11;2024-02-11 00:00:00;11;2;2024;2024/02;-22,19874078;-49,95607653;20:35:00;MARILIA;Marilia;AVENIDA REPUBLICA;2550;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO NAO FATAL
321288;PM-9065-6-2023-3-23;2023-03-23 00:00:00;23;3;2023;2023/03;-22,21666616;-49,94415176;13:33:00;MARILIA;Marilia;AVENIDA PEDRO DE TOLEDO;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
321295;PM-14076-6-2019-9-19;2019-09-19 00:00:00;19;9;2019;2019/09;-22,22453239;-49,96795671;18:29:00;MARILIA;Marilia;RODOVIA SP 294;454;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;SINISTRO NAO FATAL
321305;PM-11984-6-2022-10-18;2022-10-18 00:00:00;18;10;2022;2022/10;-22,19319609;-49,95963173;18:11:00;MARILIA;Marilia;AVENIDA CASTRO ALVES;1853;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
321329;PM-14313-6-2019-11-11;2019-11-11 00:00:00;11;11;2019;2019/11;-22,20853701;-49,94240077;19:22:00;MARILIA;Marilia;AVENIDA ITU;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
321432;PM-8408-6-2021-12-25;2021-12-25 00:00:00;25;12;2021;2021/12;-22,2205518;-49,94103523;04:05:00;MARILIA;Marilia;AVENIDA DAS ESMERALDAS;10;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
321443;PM-12409-6-2021-6-14;2021-06-14 00:00:00;14;6;2021;2021/06;-22,15722628;-50,01287388;18:52:00;MARILIA;Marilia;RODOVIA SP 294;464;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
321609;PM-15301-6-2024-4-28;2024-04-28 00:00:00;28;4;2024;2024/04;-22,1577523;-50,0120638;14:04:00;MARILIA;Marilia;AVENIDA PASTOR DARCI DA SILVA LIMA;408;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL
321912;PM-6198-6-2019-5-28;2019-05-28 00:00:00;28;5;2019;2019/05;-22,21935376;-49,9663003;11:47:00;MARILIA;Marilia;RUA KEIJI AKUTAGAWA X RUA JOSE SILVA;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
321924;PM-22878-6-2021-12-18;2021-12-18 00:00:00;18;12;2021;2021/12;-22,23684208;-49,97871325;21:12:00;MARILIA;Marilia;AVENIDA MARIA FERNANDES CAVALARE;20436;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO NAO FATAL
321936;PM-269299-99-2020-2-15;2020-02-15 00:00:00;15;2;2020;2020/02;-22,24000546;-49,91969972;02:05:00;MARILIA;Marilia;BR 153;256,4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;SINISTRO NAO FATAL
322058;PM-10757-6-2019-9-20;2019-09-20 00:00:00;20;9;2019;2019/09;-22,20305426;-49,95964332;15:44:00;MARILIA;Marilia;AVENIDA SANTO ANTONIO;2480;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;SINISTRO NAO FATAL
322097;PM-10719-6-2022-3-10;2022-03-10 00:00:00;10;3;2022;2022/03;-22,17407291;-49,9659566;15:41:00;MARILIA;Marilia;RUA BENEDITO ALVES DELFINO;450;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL
322140;PM-26768-6-2024-3-3;2024-03-03 00:00:00;3;3;2024;2024/03;-22,24499715;-49,93605852;21:18:00;MARILIA;Marilia;RUA ERASMO LUIS FUNARI DA SILVA;135;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
322265;PM-20600-6-2022-10-28;2022-10-28 00:00:00;28;10;2022;2022/10;-22,31158942;-50,07204813;22:50:00;MARILIA;Marilia;RODOVIA SP 333;350;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
322897;PM-7317-6-2020-1-13;2020-01-13 00:00:00;13;1;2020;2020/01;-22,21307266;-49,9546308;12:04:00;MARILIA;Marilia;RUA VINTE E QUATRO DE DEZEMBRO;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
323014;PM-6097-6-2019-2-28;2019-02-28 00:00:00;28;2;2019;2019/02;-22,20259759;-49,95444701;10:56:37;MARILIA;Marilia;AVENIDA REPUBLICA;2093;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
323108;PM-2165-6-2023-8-28;2023-08-28 00:00:00;28;8;2023;2023/08;-22,17275081;-49,98192767;06:05:00;MARILIA;Marilia;RODOVIA SP 294;460;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
323377;PM-12151-6-2019-2-8;2019-02-08 00:00:00;8;2;2019;2019/02;-22,17982315;-49,95837631;15:55:00;MARILIA;Marilia;RUA PAULICEIA;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL
323569;PM-4661-6-2023-5-29;2023-05-29 00:00:00;29;5;2023;2023/05;-22,22486587;-49,94737904;08:54:00;MARILIA;Marilia;AVENIDA SAMPAIO VIDAL;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
323725;PM-7815-6-2023-8-4;2023-08-04 00:00:00;4;8;2023;2023/08;-22,154459;-49,96469;11:53:00;MARILIA;Marilia;RUA ANA CLAUDIA LOURENCO;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL
324041;PM-8258-6-2020-2-6;2020-02-06 00:00:00;6;2;2020;2020/02;-22,23547262;-49,97162549;13:38:00;MARILIA;Marilia;AVENIDA HIGINO MUZI FILHO;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL
324288;PM-16552-6-2024-3-20;2024-03-20 00:00:00;20;3;2024;2024/03;-22,1630431;-49,9454612;19:28:00;MARILIA;Marilia;AVENIDA JOSE JORENTE;51;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
324435;PM-325149-99-2020-12-2;2020-12-02 00:00:00;2;12;2020;2020/12;-22,32964714;-49,89865757;10:35:00;MARILIA;Marilia;BR 153;267;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO NAO FATAL
324862;PM-12014-6-2024-7-16;2024-07-16 00:00:00;16;7;2024;2024/07;-22,2074194;-49,9406613;17:50:00;MARILIA;Marilia;AVENIDA SALGADO FILHO;339;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
324867;PM-3740-6-2019-12-6;2019-12-06 00:00:00;6;12;2019;2019/12;-22,2098451;-49,949349;07:10:00;MARILIA;Marilia;AVENIDA PEDRO DE TOLEDO;1531;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
324966;PM-18155-6-2021-2-27;2021-02-27 00:00:00;27;2;2021;2021/02;-22,23684208;-49,97871325;19:37:34;MARILIA;Marilia;AVENIDA MARIA FERNANDES CAVALARE;2022;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
325007;PM-12305-6-2023-10-4;2023-10-04 00:00:00;4;10;2023;2023/10;-22,21692174;-49,94632615;18:52:00;MARILIA;Marilia;AVENIDA BRASIL;465;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;SINISTRO NAO FATAL
325211;PM-14084-6-2023-8-11;2023-08-11 00:00:00;11;8;2023;2023/08;-22,211998;-49,95172;15:56:00;MARILIA;Marilia;RUA SAO CARLOS;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
325655;PM-11651-6-2022-12-13;2022-12-13 00:00:00;13;12;2022;2022/12;-22,22021712;-49,94117338;18:27:00;MARILIA;Marilia;AVENIDA PEDRO DE TOLEDO;338;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;SINISTRO NAO FATAL
326204;PM-3862-6-2019-8-23;2019-08-23 00:00:00;23;8;2019;2019/08;-22,19127919;-49,95998279;08:19:00;MARILIA;Marilia;AVENIDA SANCHES CIBANTOS;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
326313;PM-3889-6-2022-1-2;2022-01-02 00:00:00;2;1;2022;2022/01;-22,15004935;-49,96700215;04:12:00;MARILIA;Marilia;RUA IRENE DAS GRACAS DE OLIVEIRA;1044;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;SINISTRO NAO FATAL
326372;PM-10795-6-2020-11-19;2020-11-19 00:00:00;19;11;2020;2020/11;-22,24919855;-49,92599258;18:24:00;MARILIA;Marilia;RUA BENEDITO MENDES FARIA;722;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
326573;PM-17491-6-2022-12-9;2022-12-09 00:00:00;9;12;2022;2022/12;-22,17244597;-49,95292624;19:50:00;MARILIA;Marilia;RUA FEIJO X RUA BANDEIRANTES;10;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
326585;PM-1371-6-2024-2-3;2024-02-03 00:00:00;3;2;2024;2024/02;-22,2299765;-49,9309694;00:52:00;MARILIA;Marilia;AVENIDA JOAO RAMALHO;10;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
326594;PM-15837-6-2023-5-11;2023-05-11 00:00:00;11;5;2023;2023/05;-22,22770064;-49,90267782;20:06:59;MARILIA;Marilia;CORISTEU DE AZEVEDO MARQUES;548;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
326842;PM-699-6-2019-9-19;2019-09-19 00:00:00;19;9;2019;2019/09;-22,1965794;-49,96230779;00:47:47;MARILIA;Marilia;AVENIDA SANTO ANTONIO;3241;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
326967;PM-6580-6-2020-10-2;2020-10-02 00:00:00;2;10;2020;2020/10;-22,21796318;-49,98197847;10:23:00;MARILIA;Marilia;RUA SETE;331;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
326973;PM-8981-6-2022-5-23;2022-05-23 00:00:00;23;5;2022;2022/05;-22,17683342;-49,9690697;14:17:00;MARILIA;Marilia;AVENIDA REPUBLICA;5379;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;SINISTRO NAO FATAL
327234;PM-4682-6-2020-5-11;2020-05-11 00:00:00;11;5;2020;2020/05;-22,15706146;-49,95117542;07:56:00;MARILIA;Marilia;RUA BENEDITO ALVES DELFINO;2850;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
327869;PM-20077-6-2022-5-7;2022-05-07 00:00:00;7;5;2022;2022/05;-22,1791905;-49,96638584;21:16:09;MARILIA;Marilia;PASTOR DARCI DA SILVA LIMA;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
328071;PM-5973-6-2020-12-24;2020-12-24 00:00:00;24;12;2020;2020/12;-22,21205221;-49,96019648;07:02:38;MARILIA;Marilia;RUA COROADOS;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
328520;PM-11923-6-2024-7-22;2024-07-22 00:00:00;22;7;2024;2024/07;-22,1970117;-49,956702;16:09:00;MARILIA;Marilia;RUA AMERICA;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL
328537;PM-3211-6-2021-2-20;2021-02-20 00:00:00;20;2;2021;2021/02;-22,1573508;-50,00367718;01:31:04;MARILIA;Marilia;RODOVIA SP 294;463;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
328613;PM-18368-6-2019-5-30;2019-05-30 00:00:00;30;5;2019;2019/05;-22,22858595;-49,93690743;23:38:06;MARILIA;Marilia;AVENIDA FERES MATAR;12;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
328625;PM-4769-6-2019-10-11;2019-10-11 00:00:00;11;10;2019;2019/10;-22,21695903;-49,94928994;08:20:00;MARILIA;Marilia;AVENIDA SAMPAIO VIDAL;1050;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;SINISTRO NAO FATAL
328705;PM-6544-6-2023-10-10;2023-10-10 00:00:00;10;10;2023;2023/10;-22,2101368;-49,9464211;12:36:00;MARILIA;Marilia;RUA MATO GROSSO;443;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
328766;PM-14828-6-2022-8-15;2022-08-15 00:00:00;15;8;2022;2022/08;-22,21438128;-49,95306295;17:35:00;MARILIA;Marilia;RUA QUINZE DE NOVEMBRO;1081;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
328779;PM-12663-6-2021-8-3;2021-08-03 00:00:00;3;8;2021;2021/08;-22,22887762;-49,91647393;20:03:00;MARILIA;Marilia;AVENIDA DAS ESMERALDAS;2751;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
328851;PM-9320-6-2024-1-10;2024-01-10 00:00:00;10;1;2024;2024/01;-22,1655581;-49,963301;12:25:00;MARILIA;Marilia;R MARIA BATISTAO X AV EUGENIO CONECLIAN;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO NAO FATAL
328935;PM-3333-6-2023-2-2;2023-02-02 00:00:00;2;2;2023;2023/02;-22,23553277;-49,92402856;07:10:00;MARILIA;Marilia;RUA ITALIA;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
328980;PM-3400-6-2023-3-22;2023-03-22 00:00:00;22;3;2023;2023/03;-22,21002659;-49,96380139;07:24:00;MARILIA;Marilia;RUA FRANCISCO DOS SANTOS VASCONCELOS;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
329061;PM-3852-6-2024-7-16;2024-07-16 00:00:00;16;7;2024;2024/07;-22,1628391;-49,962588;08:37:00;MARILIA;Marilia;AVENIDA ANTONIETA ALTENFELDER;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL
329313;PM-9076-6-2023-10-7;2023-10-07 00:00:00;7;10;2023;2023/10;-22,1716604;-49,9557153;09:32:00;MARILIA;Marilia;AVENIDA JOSE RINO;576;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL
329412;PM-13497-6-2023-2-18;2023-02-18 00:00:00;18;2;2023;2023/02;-22,2207326;-49,95791531;14:16:00;MARILIA;Marilia;RUA NOVE DE JULHO;100;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
329457;PM-10256-6-2023-2-2;2023-02-02 00:00:00;2;2;2023;2023/02;-22,17177648;-49,95688135;15:28:00;MARILIA;Marilia;RUA VINTE E QUATRO;1316;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
329468;PM-3628-6-2021-12-3;2021-12-03 00:00:00;3;12;2021;2021/12;-22,21002659;-49,96380139;07:13:04;MARILIA;Marilia;RUA FRANCISCO DOS SANTOS VASCONCELOS;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
329480;PM-13359-6-2022-5-24;2022-05-24 00:00:00;24;5;2022;2022/05;-22,22097992;-49,94975156;19:43:16;MARILIA;Marilia;AVENIDA RIO BRANCO;149;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
329604;PM-13087-6-2020-11-16;2020-11-16 00:00:00;16;11;2020;2020/11;-22,20866711;-49,93808857;18:19:26;MARILIA;Marilia;RUA SANTA HELENA;100;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
329669;PM-15604-6-2019-9-28;2019-09-28 00:00:00;28;9;2019;2019/09;-22,18925216;-49,96099886;18:33:00;MARILIA;Marilia;AVENIDA DOUTOR TIMOTEO BRUNO BELUCE;255;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
329771;PM-5350-6-2020-4-22;2020-04-22 00:00:00;22;4;2020;2020/04;-22,18024197;-49,96479118;07:59:00;MARILIA;Marilia;AVENIDA REPUBLICA;4800;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO NAO FATAL
330379;PM-6231-6-2024-6-6;2024-06-06 00:00:00;6;6;2024;2024/06;-22,1955166;-49,9520945;12:36:00;MARILIA;Marilia;RUA AMERICA;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL
330382;PM-11299-6-2021-1-8;2021-01-08 00:00:00;8;1;2021;2021/01;-22,23042553;-49,96700049;17:10:00;MARILIA;Marilia;RODOVIA SP 294;451;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;SINISTRO NAO FATAL
330402;PM-14122-6-2023-1-20;2023-01-20 00:00:00;20;1;2023;2023/01;-22,1576211;-50,0118248;19:51:00;MARILIA;Marilia;AVENIDA PASTOR DARCI DA SILVA LIMA;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
330580;PM-23636-6-2024-1-14;2024-01-14 00:00:00;14;1;2024;2024/01;-22,2021772;-49,9642703;20:46:28;MARILIA;Marilia;SP294;28;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
330635;PM-343051-99-2021-2-26;2021-02-26 00:00:00;26;2;2021;2021/02;-22,23908935;-49,91958179;14:50:00;MARILIA;Marilia;BR 153;256,3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;SINISTRO NAO FATAL
330748;PM-16877-6-2021-6-13;2021-06-13 00:00:00;13;6;2021;2021/06;-22,22446714;-49,93561614;16:06:00;MARILIA;Marilia;AVENIDA TIRADENTES;1001;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
330759;PM-12042-6-2020-7-14;2020-07-14 00:00:00;14;7;2020;2020/07;-22,22699634;-49,96397693;20:21:00;MARILIA;Marilia;AVENIDA SAUDADE;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;SINISTRO NAO FATAL
330918;PM-5862-6-2021-11-3;2021-11-03 00:00:00;3;11;2021;2021/11;-22,19767796;-49,9342067;10:06:00;MARILIA;Marilia;RUA SANTA HELENA;1380;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
331161;PM-16831-6-2023-5-19;2023-05-19 00:00:00;19;5;2023;2023/05;-22,22770064;-49,90267782;20:57:00;MARILIA;Marilia;ACESSO RODOVIA COMANDANTE JOAO RIBEIRO DE BARROS S;463;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
331162;PM-9340-6-2019-7-16;2019-07-16 00:00:00;16;7;2019;2019/07;-22,21191876;-49,93788033;16:01:00;MARILIA;Marilia;AVENIDA BRIGADEIRO EDUARDO GOMES;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
331372;PM-7276-6-2022-6-10;2022-06-10 00:00:00;10;6;2022;2022/06;-22,1961563;-49,95917027;12:05:14;MARILIA;Marilia;AVENIDA CASTRO ALVES;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
