;id_sinistro;Data do Sinistro;Dia do Sinistro;Mes do Sinistro;Ano do Sinistro;Ano/Mes do Sinistro;latitude;longitude;Hora do Sinistro;Municipio;Regiao Administrativa;Logradouro;Numero/KM;Pedestre envolvido;Automovel envolvido;Bicicleta envolvida;Caminhao envolvido;Motocicleta envolvida;Onibus envolvido;Outros veiculos envolvidos;Veiculo envolvido nao disponivel;Atropelamento;Capotamento;Choque;Colisao frontal;Colisao lateral;Colisao transversal;Colisao traseira;Outras colisoes;Engavetamento;Tombamento;Outros sinistros;Tipo de registro
2155;PM-15474-6-2024-7-26;2024-07-26 00:00:00;26;7;2024;2024/07;-22,2015434;-49,9645071;18:40:00;MARILIA;Marilia;SP333;303;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO NAO FATAL
2258;PM-11578-6-2019-10-8;2019-10-08 00:00:00;8;10;2019;2019/10;-22,17588872;-49,96297348;18:11:00;MARILIA;Marilia;RUA TOMAS ALCALDE;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO NAO FATAL
2318;PM-6520-6-2019-3-7;2019-03-07 00:00:00;7;3;2019;2019/03;-22,21663375;-49,93781549;11:28:23;MARILIA;Marilia;RUA TOMAS GONZAGA;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
2338;PM-4712-6-2022-8-30;2022-08-30 00:00:00;30;8;2022;2022/08;-22,23206644;-49,92446907;10:26:00;MARILIA;Marilia;RODOVIA SP 294;446;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
2354;PM-15089-6-2021-11-28;2021-11-28 00:00:00;28;11;2021;2021/11;-22,22836198;-49,97542493;13:28:10;MARILIA;Marilia;RUA MARIA GIRAIDE CAVALARE;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
2355;PM-10381-6-2019-10-9;2019-10-09 00:00:00;9;10;2019;2019/10;-22,19272207;-49,95972385;16:39:00;MARILIA;Marilia;AVENIDA SANCHES CIBANTOS;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
2388;PM-16325-6-2024-4-9;2024-04-09 00:00:00;9;4;2024;2024/04;-22,17726919;-49,95787781;21:43:00;MARILIA;Marilia;RUA MARIANA NORA ABIBE;104;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
2733;PM-16388-6-2021-10-5;2021-10-05 00:00:00;5;10;2021;2021/10;-22,22533215;-49,93548018;23:33:00;MARILIA;Marilia;AVENIDA TIRADENTES;1100;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
2829;PM-20446-6-2021-10-10;2021-10-10 00:00:00;10;10;2021;2021/10;-22,23650357;-49,96910824;20:49:00;MARILIA;Marilia;RUA MANOEL SANTOS CHIEIRA;222;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
2838;PM-18281-6-2023-12-31;2023-12-31 00:00:00;31;12;2023;2023/12;-22,2554292;-49,9395835;20:00:00;MARILIA;Marilia;RUA YOSHITAKA SHIMADA;5;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
