;Id da Delegacia;Número do Bo;Ano do BO;Nome da Delegacia;Data do Sinistro;Dia do Sinistro;Mês do Sinistro;Ano do Sinistro;Ano/Mês do Sinistro;Dia da Semana;Hora do Sinistro;Turno;Município;Região Administrativa;Logradouro;Númeral / KM;Jurisdição;Administração;Conservação;Tipo de local do sinistro;latitude;longitude;Tipo de via;Pedestre envolvido;Automóvel envolvido;Bicicleta envolvida;Caminhão envolvido;Motocicleta envolvida;Ônibus  envolvido;Outros veículos envolvidos;Veículo envolvido não disponível;Tempo entre o Sinistro e o Óbito;Atropelamento;Capotamento;Choque;Colisão frontal;Colisão lateral;Colisão transversal;Colisão traseira;Outras colisões;Engavetamento;Tombamento;Outros sinistros;Quantidade de vítimas fatais;Tipo de Registro
46818;80504;1422;2015;DEL.SEC.MARÍLIA PLANTÃO;2015-02-09 00:00:00;9;2;2015;2015/02;SEGUNDA;17;TARDE;MARILIA;MARÍLIA;BR 153;222,6;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,02221662;-49,9075174;VIAS MUNICIPAIS;0;1;0;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
46848;80504;1420;2018;DEL.SEC.MARÍLIA PLANTÃO;2018-02-09 00:00:00;9;2;2018;2018/02;SEXTA;11;MANHA;MARILIA;MARÍLIA;RUA QUATRO DE ABRIL;0;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,211804;-49,951605;VIAS MUNICIPAIS;1;1;0;0;0;0;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
46902;80504;12482;2017;DEL.SEC.MARÍLIA PLANTÃO;2017-11-16 00:00:00;16;11;2017;2017/11;QUINTA;13;TARDE;MARILIA;MARÍLIA;NAO DISPONIVEL;0;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;;;NAO DISPONIVEL;0;0;1;0;0;0;0;1;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
47301;100402;1038;2020;DEL.POL.BARRINHA;2020-10-07 00:00:00;7;10;2020;2020/10;QUARTA;13;TARDE;MARILIA;MARÍLIA;SP 333;327;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,17772044;-49,97134069;RODOVIAS;0;1;0;0;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;1;0;0;0;1;SINISTRO FATAL
47623;80504;1007120196;2023;DEL.SEC.MARÍLIA PLANTÃO;2023-09-14 00:00:00;14;9;2023;2023/09;QUINTA;18;NOITE;MARILIA;MARÍLIA;RUA PERNAMBUCO;193;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,21307443;-49,94660821;VIAS MUNICIPAIS;1;1;0;0;0;0;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
47659;80504;3841;2020;DEL.SEC.MARÍLIA PLANTÃO;2020-05-09 00:00:00;9;5;2020;2020/05;SÁBADO;16;TARDE;MARILIA;MARÍLIA;SP 333;324,7;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,15301064;-49,95617747;RODOVIAS;1;1;0;0;0;0;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
47662;80504;3841;2021;DEL.SEC.MARÍLIA PLANTÃO;2021-05-22 00:00:00;22;5;2021;2021/05;SÁBADO;23;NOITE;MARILIA;MARÍLIA;SP 294;445,8;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,23127995;-49,92051537;RODOVIAS;0;1;0;0;1;0;0;0;ATÉ 30 DIAS;0;0;0;1;0;0;0;0;0;0;0;1;SINISTRO FATAL
47845;80504;8736;2015;DEL.SEC.MARÍLIA PLANTÃO;2015-08-28 00:00:00;28;8;2015;2015/08;SEXTA;23;NOITE;MARILIA;MARÍLIA;RUA JOAQUIM BARRETO;0;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,23820979;-49,93266569;VIAS MUNICIPAIS;0;0;0;0;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
48138;80504;1005297680;2023;DEL.SEC.MARÍLIA PLANTÃO;2023-04-20 00:00:00;20;4;2023;2023/04;QUINTA;20;NOITE;MARILIA;MARÍLIA;SP 333;352,94;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,32758502;-50,10634113;RODOVIAS;0;1;0;1;0;0;0;0;ATÉ 30 DIAS;0;0;0;1;0;0;0;0;0;0;0;2;SINISTRO FATAL
48276;80504;12090;2017;DEL.SEC.MARÍLIA PLANTÃO;2017-11-05 00:00:00;5;11;2017;2017/11;DOMINGO;23;NOITE;MARILIA;MARÍLIA;RUA HERMES DA FONSECA;2251;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,178507;-49,956835;VIAS MUNICIPAIS;0;0;0;0;1;0;0;1;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
48343;80504;8764;2016;DEL.SEC.MARÍLIA PLANTÃO;2016-08-31 00:00:00;31;8;2016;2016/08;QUARTA;16;TARDE;MARILIA;MARÍLIA;NAO DISPONIVEL;0;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;;;NAO DISPONIVEL;0;0;0;0;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
48523;100907;739;2018;DEL.SEC.SERTÃOZINHO PLANTÃO;2018-03-03 00:00:00;3;3;2018;2018/03;SÁBADO;5;MADRUGADA;MARILIA;MARÍLIA;SP 333;334,6;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,23973889;-49,97600573;RODOVIAS;0;0;0;1;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;1;0;0;0;0;1;SINISTRO FATAL
48672;80504;6358;2019;DEL.SEC.MARÍLIA PLANTÃO;2019-06-20 00:00:00;20;6;2019;2019/06;QUINTA;3;MADRUGADA;MARILIA;MARÍLIA;AVENIDA SANCHES CIBANTOS;0;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;;;VIAS MUNICIPAIS;0;0;0;0;1;0;0;1;ATÉ 30 DIAS;0;0;1;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
48749;80504;1010286144;2024;DEL.SEC.MARÍLIA PLANTÃO;2024-05-09 00:00:00;9;5;2024;2024/05;QUINTA;20;NOITE;MARILIA;MARÍLIA;SP 294;457,3;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,18518474;-49,97083782;RODOVIAS;0;1;0;0;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;1;0;0;0;0;1;SINISTRO FATAL
48808;80504;13034;2015;DEL.SEC.MARÍLIA PLANTÃO;2015-12-24 00:00:00;24;12;2015;2015/12;QUINTA;2;MADRUGADA;MARILIA;MARÍLIA;SP 294;443;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,22468208;-49,89038889;RODOVIAS;0;0;0;0;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
49139;80504;7322;2015;DEL.SEC.MARÍLIA PLANTÃO;2015-07-23 00:00:00;23;7;2015;2015/07;QUINTA;10;MANHA;MARILIA;MARÍLIA;AVENIDA RIO BRANCO;0;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,22052854;-49,94838993;VIAS MUNICIPAIS;0;0;0;0;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
49232;80504;4820;2017;DEL.SEC.MARÍLIA PLANTÃO;2017-05-03 00:00:00;3;5;2017;2017/05;QUARTA;7;MANHA;MARILIA;MARÍLIA;SP 294;461,7;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,15977637;-49,99819794;RODOVIAS;0;1;0;1;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
49284;80504;1005220338;2023;DEL.SEC.MARÍLIA PLANTÃO;2023-04-14 00:00:00;14;4;2023;2023/04;SEXTA;13;TARDE;MARILIA;MARÍLIA;BR 153;215,65;FEDERAL;CONCESSIONÁRIA-ANTT;TRANSBRASILIANA;PUBLICO;-22,06159569;-49,90204835;RODOVIAS;0;1;0;1;0;0;0;0;ATÉ 30 DIAS;0;0;0;1;0;0;0;0;0;0;0;2;SINISTRO FATAL
49588;80504;6374;2015;DEL.SEC.MARÍLIA PLANTÃO;2015-06-25 00:00:00;25;6;2015;2015/06;QUINTA;7;MANHA;MARILIA;MARÍLIA;RUA VINTE E QUATRO DE DEZEMBRO;0;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,22397513;-49,95040793;VIAS MUNICIPAIS;0;0;0;0;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
49594;80504;11978;2019;DEL.SEC.MARÍLIA PLANTÃO;2019-11-13 00:00:00;13;11;2019;2019/11;QUARTA;19;NOITE;MARILIA;MARÍLIA;SP 294;456;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,19528214;-49,96601416;RODOVIAS;1;1;0;0;0;0;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
49661;80504;4810;2017;DEL.SEC.MARÍLIA PLANTÃO;2017-04-26 00:00:00;26;4;2017;2017/04;QUARTA;1;MADRUGADA;MARILIA;MARÍLIA;NAO DISPONIVEL;0;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;PUBLICO;;;NAO DISPONIVEL;1;0;1;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
50452;80504;4838;2016;DEL.SEC.MARÍLIA PLANTÃO;2016-05-15 00:00:00;15;5;2016;2016/05;DOMINGO;18;NOITE;MARILIA;MARÍLIA;SPA 458/294;456;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,18080311;-49,97248708;VIAS MUNICIPAIS;0;0;1;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
