;Id da Delegacia;Número do Bo;Ano do BO;Nome da Delegacia;Data do Sinistro;Dia do Sinistro;Mês do Sinistro;Ano do Sinistro;Ano/Mês do Sinistro;Dia da Semana;Hora do Sinistro;Turno;Município;Região Administrativa;Logradouro;Númeral / KM;Jurisdição;Administração;Conservação;Tipo de local do sinistro;latitude;longitude;Tipo de via;Pedestre envolvido;Automóvel envolvido;Bicicleta envolvida;Caminhão envolvido;Motocicleta envolvida;Ônibus  envolvido;Outros veículos envolvidos;Veículo envolvido não disponível;Tempo entre o Sinistro e o Óbito;Atropelamento;Capotamento;Choque;Colisão frontal;Colisão lateral;Colisão transversal;Colisão traseira;Outras colisões;Engavetamento;Tombamento;Outros sinistros;Quantidade de vítimas fatais;Tipo de Registro
38506;80504;1006617630;2023;DEL.SEC.MARÍLIA PLANTÃO;2023-08-06 00:00:00;6;8;2023;2023/08;DOMINGO;20;NOITE;MARILIA;MARÍLIA;VICINAL AMÉRICO JOSÉ DE OLIVEIRA;0;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;;;VIAS MUNICIPAIS;0;0;0;0;1;0;0;1;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;1;0;1;SINISTRO FATAL
38517;80504;6283;2016;DEL.SEC.MARÍLIA PLANTÃO;2016-06-26 00:00:00;26;6;2016;2016/06;DOMINGO;20;NOITE;MARILIA;MARÍLIA;SPA 458/294;438,8;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,18298771;-49,96339393;VIAS MUNICIPAIS;0;0;0;0;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
38778;80504;9658;2015;DEL.SEC.MARÍLIA PLANTÃO;2015-09-22 00:00:00;22;9;2015;2015/09;TERÇA;16;TARDE;MARILIA;MARÍLIA;RUA HOSPITAL DE CLINICAS MARILIA;2;MUNICIPAL;PREFEITURA;PREFEITURA;NAO DISPONIVEL;-22,217584;-49,950529;VIAS MUNICIPAIS;0;0;0;0;0;0;0;1;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;2;SINISTRO FATAL
39589;80504;1007415537;2023;DEL.SEC.MARÍLIA PLANTÃO;2023-08-18 00:00:00;18;8;2023;2023/08;SEXTA;4;MADRUGADA;MARILIA;MARÍLIA;NAO DISPONIVEL;0;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;;;NAO DISPONIVEL;0;1;0;0;1;0;0;0;MAIS DE 30 DIAS;0;0;1;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
39593;80504;1009718796;2024;DEL.SEC.MARÍLIA PLANTÃO;2024-04-01 00:00:00;1;4;2024;2024/04;SEGUNDA;17;TARDE;MARILIA;MARÍLIA;SP 294;454,2;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,21074868;-49,96341161;RODOVIAS;1;0;0;1;0;0;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
39700;80504;1003417724;2022;DEL.SEC.MARÍLIA PLANTÃO;2022-11-20 00:00:00;20;11;2022;2022/11;DOMINGO;20;NOITE;MARILIA;MARÍLIA;SP 294;464,4;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,15764994;-50,0227851;RODOVIAS;1;0;0;0;1;0;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
39956;80504;1006696068;2023;DEL.SEC.MARÍLIA PLANTÃO;2023-08-12 00:00:00;12;8;2023;2023/08;SÁBADO;1;MADRUGADA;MARILIA;MARÍLIA;RUA CORONEL JOSÉ BRÁS;605;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,22308079;-49,95350071;VIAS MUNICIPAIS;0;1;0;0;0;0;0;1;ATÉ 30 DIAS;0;0;1;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
40623;80504;5730;2016;DEL.SEC.MARÍLIA PLANTÃO;2016-06-11 00:00:00;11;6;2016;2016/06;SÁBADO;2;MADRUGADA;MARILIA;MARÍLIA;SP 294;0;ESTADUAL;CONCESSIONÁRIA-ARTESP;NAO DISPONIVEL;NAO DISPONIVEL;-22,23223198;-49,97076529;RODOVIAS;0;0;0;0;0;0;0;1;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
40897;80504;8225;2015;DEL.SEC.MARÍLIA PLANTÃO;2015-08-15 00:00:00;15;8;2015;2015/08;SÁBADO;21;NOITE;MARILIA;MARÍLIA;BR 153;262;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,28894383;-49,91544275;VIAS MUNICIPAIS;0;1;0;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
41040;80504;11514;2017;DEL.SEC.MARÍLIA PLANTÃO;2017-10-20 00:00:00;20;10;2017;2017/10;SEXTA;21;NOITE;MARILIA;MARÍLIA;AVENIDA TOMÉ DE SOUZA;545;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,245312;-49,9358;VIAS MUNICIPAIS;1;1;0;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
